,IndCode,IndName
559,HWF_0024,Community Health Workers (number)
560,HWWS_1,Handwashing with soap after using the toilet (%)
561,HWWS_2,Handwashing with soap after cleaning child's stool (%)
562,IHR01,Legislation
563,IHR02,Coordination
564,IHR03,Surveillance
565,IHR04,Response
566,IHR05,Preparedness
567,IHR06,Risk communication
568,IHR07,Human resources
569,IHR08,Laboratory
570,IHR09,Points of entry
571,IHR10,Zoonosis
572,IHR11,Food safety
573,IHR12,Chemical
574,IHR13,Radionuclear
575,imr,Infant mortality rate (deaths per 1000 live births)
576,IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported
577,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site
578,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported
579,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported
580,IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site
581,IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported
582,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site
583,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported
584,IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site
585,itnch,Children aged < 5 years sleeping under insecticide-treated nets (%)
586,itnwm,Pregnant women sleeping under insecticide-treated nets (%)
587,ITU_ICT_1,Percentage of individuals using the Internet
588,ITU_ICT_2,Mobile-cellular telephone subscriptions per 100 inhabitants
589,ITU_IDI,ICT Development Index (IDI)
590,ITU_IDI_RANK,ICT Development Index (IDI) rank
591,LEAD_1,Percentage of the children under 15 years with blood lead levels above 5ug/dl
592,LEAD_10,Lead attributable DALYs per 100'000 children under 5 years
593,LEAD_2,Percentage of the children under 15 years with blood lead levels above 10ug/dl
594,LEAD_3,Percentage of the adults (15+ years) with blood lead levels above 5ug/dl
595,LEAD_4,Percentage of the adults (15+ years) with blood lead levels above 10ug/dl
596,LEAD_5,Lead attributable deaths
597,LEAD_6,Lead attributable DALYs ('000)
598,LEAD_7,Lead attributable deaths per 100'000 capita
599,LEAD_8,Lead attributable DALYs per 100'000 capita
600,LEAD_9,Lead attributable DALYs ('000) in children under 5 years
601,LEADCONTROL,Legally-binding controls on lead paint
602,LIFE_0000000029,nMx - age-specific death rate between ages x and x+n
603,LIFE_0000000030,nqx - probability of dying between ages x and x+n
604,LIFE_0000000031,lx - number of people left alive at age x
605,LIFE_0000000032,ndx - number of people dying between ages x and x+n
606,LIFE_0000000033,nLx - person-years lived between ages x and x+n
607,LIFE_0000000034,Tx - person-years lived above age x
608,LIFE_0000000035,ex - expectation of life at age x
609,M_def_1_prev_adult,Adult indicator 1 rate
610,M_def_1_prev_youth,Youth indicator 1 rate
611,M_def_1_text_adult,Adult indicator 1 definition
612,M_def_1_text_youth,Youth indicator 1 definition
613,M_def_2_prev_adult,Adult indicator 2 rate
614,M_def_2_prev_youth,Youth indicator 2 rate
615,M_def_2_text_adult,Adult indicator 2 definition
616,M_def_2_text_youth,Youth indicator 2 definition
617,M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%)
618,M_Est_tob_curr,Estimate of current tobacco use prevalence (%)
619,M_Group,Monitoring tobacco use and prevention policies
620,M_smkless_age_range_adult,Adult survey age range - smokeless
621,M_smkless_age_range_youth,Youth survey age range - smokeless
622,M_smkless_def_text_adult,Adult smokeless tobacco use indicator definition
623,M_smkless_def_text_youth,Youth smokeless tobacco use indicator definition
624,M_smkless_prev_adult,Adult smokeless tobacco use indicator rate
625,M_smkless_prev_youth,Youth smokeless tobacco use indicator rate
626,M_smkless_survey_title_adult,Name of survey of adults - smokeless
627,M_smkless_survey_title_youth,Name of survey of youth - smokeless
628,M_smkless_svy_national_adult,Representativeness of survey of adults - smokeless
629,M_smkless_svy_national_youth,Representativeness of survey of youth - smokeless
630,M_survey_title_adult,Name of survey of adults
631,M_survey_title_youth,Name of survey of youth
632,M_svy_age_adult,Adult survey age range
633,M_svy_age_youth,Youth survey age range
634,M_svy_national_adult,Representativeness of survey of adults
635,M_svy_national_youth,Representativeness of youth survey
636,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)
637,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
638,MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years)
639,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
640,MDG_0000000010,Median availability of selected generic medicines (%) - Public
641,MDG_0000000011,Median consumer price ratio of selected generic medicines - Public
642,MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%)
643,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
644,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year)
645,MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%)
646,MDG_0000000025,Births attended by skilled health personnel (%)
647,MDG_0000000026,Maternal mortality ratio (per 100 000 live births)
648,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%)
649,MDG_0000000030,Smear-positive tuberculosis case-detection rate (%)
650,MDG_0000000031,Smear-positive tuberculosis treatment-success rate (%)
651,MDG_0000000032,Maternal mortality ratio (per 100 000 live births) - Country reported estimates
652,MDG_0000000033,Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%)
653,MDG_0000000034,"Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines"
654,MENING_1,Number of suspected meningitis deaths reported
655,MENING_2,Number of suspected meningitis cases reported
656,MENING_3,Number of meningitis epidemic districts
657,MH_1,Mental health policy
658,MH_10,"Mental health outpatient facilities (per 100,000)"
659,MH_11,"Mental health day treatment facilities (per 100,000)"
660,MH_12,Age-standardized suicide rates (per 100 000 population)
661,MH_13,"Beds for mental health in general hospitals (per 100,000)"
662,MH_14,"Community residential facilities (per 100,000)"
663,MH_15,"Beds in community residential facilities (per 100,000)"
664,MH_16,"Beds in mental hospitals (per 100,000)"
665,MH_17,"Mental hospitals (per 100,000)"
666,MH_18,"Mental health units in general hospitals (per 100,000)"
667,MH_19,"Mental hospital admissions (per 100,000)"
668,MH_2,Mental health plan
669,MH_20,"Outpatient visits (per 100,000)"
670,MH_24,"Mental health units in general hospitals admissions (per 100,000)"
671,MH_25,Stand-alone policy or plan for mental health
672,MH_3,Stand-alone mental health legislation
673,MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%)
674,MH_5,Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%)
675,MH_6,"Psychiatrists working in mental health sector (per 100,000)"
676,MH_7,"Nurses working in mental health sector (per 100,000)"
677,MH_8,"Social workers working in mental health sector (per 100,000)"
678,MH_9,"Psychologists working in mental health sector (per 100,000)"
679,MORT_100,Number of deaths
680,MORT_200,Deaths per 1 000 live births
681,MORT_300,Distribution of causes of death among children aged < 5 years (%)
682,MORT_600,Projection of number of deaths
683,MORT_700,Projection of deaths per 100 000 population
684,MORT_MATERNALNUM,Number of maternal deaths
685,MORTADO,Adolescent mortality rate (per 100 000 population)
686,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
687,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)"
688,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
689,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
690,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)"
691,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
692,NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate)
693,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate)
694,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)"
695,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)"
696,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)"
697,NCD_CCS_ACE,General availability of ACE inhibitors in the public health sector
698,NCD_CCS_AlcPlan,Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol
699,NCD_CCS_Aspirin,General availability of aspirin (100 mg) in the public health sector
700,NCD_CCS_betablockers,General availability of beta blockers in the public health sector
701,NCD_CCS_BowelCancer,General availability of colon cancer screening at the primary health care level
702,NCD_CCS_BreastCancer,General availability of breast cancer screening (by palpation or mammogram) at the primary health care level
703,NCD_CCS_breastcancerscreening,Existence of national screening program for breast cancer
704,NCD_CCS_Bronchodilators,General availability of bronchodilators in the public health sector
705,NCD_CCS_CancerPlan,Existence of operational policy/strategy/action plan for cancer
706,NCD_CCS_CancerRegNational,Existence of population-based cancer registry
707,NCD_CCS_CCBlkrs,General availability of CC blockers in the public health sector
708,NCD_CCS_CervCy,General availability of cervical cytology at the primary health care level
709,NCD_CCS_cervicalcancermethod,Most widely used screening method in national cervical cancer screening program
710,NCD_CCS_cervicalcancerpgmcvg,Coverage of national cervical cancer screening program (%)
711,NCD_CCS_cervicalcancerpgmtype,Type of national cervical cancer screening program
712,NCD_CCS_cervicalcancerscreening,Existence of national screening program for cervical cancer
713,NCD_CCS_chemo,General availability of chemotherapy in the public health system
714,NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level
715,NCD_CCS_coronary,General availability of coronary bypass or stenting in the public health system
716,NCD_CCS_CRDPlan,Existence of operational policy/strategy/action plan for chronic respiratory diseases
717,NCD_CCS_CVDPlan,Existence of operational policy/strategy/action plan for cardiovascular diseases
718,NCD_CCS_DiabetesReg,Existence of a diabetes registry
719,NCD_CCS_DiabetesTest,"General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level"
720,NCD_CCS_DiabPlan,Existence of operational policy/strategy/action plan for diabetes
721,NCD_CCS_diabtest,"General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level"
722,NCD_CCS_dialysis,General availability of dialysis in the public health system
723,NCD_CCS_dietpaaware,Implementation of diet and/or physical activity public awareness program
724,NCD_CCS_DietPlan,Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs
725,NCD_CCS_HbA1c,General availability of diabetes testing (by HbA1c) at the primary health care level
726,NCD_CCS_hpv,Existence of national HPV vaccination programme
727,NCD_CCS_Insulin,General availability of insulin in the public health sector
728,NCD_CCS_integNCDplan,"Existence of an operational, multisectoral national NCD policy, strategy or action plan that integrates several NCDs and their risk factors"
729,NCD_CCS_Metformin,General availability of metformin in the public health sector
730,NCD_CCS_Mkting,Existence of any policies on marketing of foods to children
731,NCD_CCS_MultisecComm,"Existence of a national multisectoral commission, agency or mechanism for NCDs"
732,NCD_CCS_NCDGuide,Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach
733,NCD_CCS_NCDIndicators,Existence of a set of national NCD indicators and has set time-bound national targets for these indicators
734,NCD_CCS_NCDUnit_Operational,"Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs"
735,NCD_CCS_Nicotine,General availability of nicotine replacement therapy in the public health sector
736,NCD_CCS_oralhealthplan,Existence of operational policy/strategy/action plan for oral health
737,NCD_CCS_OralMorph,General availability of oral morphine in the public health sector
738,NCD_CCS_paaware,Implementation of physical activity public awareness program
739,NCD_CCS_palliative_home,General availability of palliative care in community or home-based care in the public health system
740,NCD_CCS_palliative_prim,General availability of palliative care in primary health care in the public health system
741,NCD_CCS_PAPlan,Existence of operational policy/strategy/action plan to reduce physical inactivity
742,NCD_CCS_PeakFlow,General availability of peak flow measurement at the primary health care level
743,NCD_CCS_photocoag,General availability of retinal photocoagulation in the public health system
744,NCD_CCS_PM3_Surv,Has a STEPS survey or a comprehensive health examination survey every 5 years
745,NCD_CCS_renaltrans,General availability of renal replacement by transplantation in the public health system
746,NCD_CCS_rheum,Provision for secondary prevention of rheumatic fever and rheumatic heart disease in more than 50% of public sector health facilities
747,NCD_CCS_rheumfollowup,Has systems for follow-up/recall to deliver long-term penicillin prophylaxis to patients with rheumatic fever and rheumatic heart disease
748,NCD_CCS_rheumreg,Existence of a register of patients who had rheumatic fever and rheumatic heart disease
749,NCD_CCS_riskstrat,Availability of cardiovascular risk stratification in 50% or more primary health care facilities
750,NCD_CCS_SaltPol,Existence of any policies to reduce population salt consumption
751,NCD_CCS_SatFat,Existence of national policies on saturated fatty acids / trans-fats
752,NCD_CCS_Spirom,General availability of spirometry at the primary health care level
753,NCD_CCS_SSBTAX,Existence of tax on sugar-sweetened beverages
754,NCD_CCS_Statins,General availability of statins in the public health sector
755,NCD_CCS_Steroid,General availability of steroid inhalers in the public health sector
756,NCD_CCS_stroke,Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities
757,NCD_CCS_sulphonylurea,General availability of sulphonylurea(s) in the public health sector
758,NCD_CCS_SurvMonRep9NCD,Existence of an NCD surveillance and monitoring system in place to enable reporting against the nine global NCD targets
759,NCD_CCS_targets,Existence of a set of time-bound national targets based on WHO guidance
760,NCD_CCS_Thiazide,General availability of thiazide diuretics in the public health sector
761,NCD_CCS_thrombolytic,General availability of thrombolytic therapy in the public health system
762,NCD_CCS_TobPlan,Existence of operational policy/strategy/action plan to decrease tobacco use
763,NCD_CCS_UrineAlbumin,General availability of urine testing for albumin
764,NCD_DTH_TOT,Total NCD Deaths (in thousands)
765,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate)
766,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate)
767,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate)
768,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate)
769,NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)
770,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)
771,NCD_PAC_ADO,Insufficiently active (crude estimate)
772,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths
773,NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease"
774,NHABASIS,Basis for NHA estimate
775,nmr,Neonatal mortality rate (deaths per 1000 live births)
776,NTCP_agcy,National agency for tobacco control exists
777,NTCP_budget_year,Budget year
778,NTCP_curr,Reported currency
779,NTCP_FTE,Number of full-time equivalent staff in national agency
780,NTCP_govt_exp,Annual budget for tobacco control in currency reported
781,NTCP_govt_obj,Government objectives on tobacco control exist
782,NTD_1,Number of new reported cases of Buruli ulcer
783,NTD_2,Dracunculiasis certification status of countries at the beginning of the year
784,NTD_3,Annual incidence of dracunculiasis cases
785,NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense)
786,NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)
787,NTD_6,Status of elimination of trachoma as a public health problem
788,NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem"
789,NTD_8,Number of people who received treatment with antibiotics for trachoma
790,NTD_BEJELSTATUS,Status of bejel endemicity
791,NTD_LEISHCEND,Status of endemicity of cutaneous leishmaniasis
792,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported
793,NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported
794,NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis
795,NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported
796,NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported
797,NTD_LEPR11,Number of female leprosy new cases
798,NTD_LEPR2,New leprosy case detection rate per 1 000 000 population
799,NTD_LEPR3,Leprosy - Number of cases registered for treatment
800,NTD_LEPR4,Leprosy registered prevalence rate per 1 000 000 population
801,NTD_LEPR5,Number of new G2D leprosy cases
802,NTD_LEPR7,Leprosy - New leprosy cases with G2D rate per 1 000 000 population
803,NTD_LEPR8,Leprosy - Number of new leprosy cases among children (less than 15 years of age)
804,NTD_LEPR9,Number of new leprosy cases with G2D among children (less than 15 years of age)
805,NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis
806,NTD_ONCHSTATUS,Status of endemicity of onchocerciasis
807,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis
808,NTD_PINTASTATUS,Status of pinta endemicity
809,NTD_RAB2,Reported number of human rabies deaths
810,NTD_TRA5,Number of people operated for trachomatous trichiasis
811,NTD_TSOL1,Status of endemicity of Taenia solium
812,NTD_TSOL3,Number of pigs in the country
813,NTD_TSOL4,Practice of backyard pig production
814,NTD_YAWSEND,Status of yaws endemicity
815,NTD_YAWSNUM,Number of cases of yaws reported
816,NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (millions), model-based estimates"
817,NUTOVERWEIGHTPREV,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates"
818,NUTRITION_2005,Proportion of children aged 6-23 months who receive a minimum acceptable diet
819,NUTRITION_564,Children aged <5 years wasted for age (%)
820,NUTRITION_570,Early initiation of breastfeeding (%)
821,NUTRITION_579,Exclusive breastfeeding under 6 months (%)
822,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates"
823,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates"
824,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates"
825,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates"
826,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates"
827,NUTSEVWASTINGNUM,"Severe wasted numbers among children under 5 years of age (millions), model-based estimates"
828,NUTSEVWASTINGPREV,"Severe wasted prevalence among children under 5 years of age (%), model-based estimates"
829,NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates"
830,NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates"
831,NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates"
832,NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates"
833,NUTWASTINGNUM,"Wasted numbers among children under 5 years of age (millions), model-based estimates"
834,NUTWASTINGPREV,"Wasted prevalence among children under 5 years of age (%), model-based estimates"
835,O_Avail_community,Treatment for tobacco dependence available in the community
836,O_Avail_hlth_clin,Treatment for tobacco dependence available in health clinics or other primary care facilities
837,O_Avail_hosp,Treatment for tobacco dependence available in hospitals
838,O_Avail_off_hlth_prof,Treatment for tobacco dependence available in offices of health professionals
839,O_Avail_other,Treatment for tobacco dependence available in other settings
840,O_Bup_ins,Bupropion - cost covered
841,O_Bup_sold,Bupropion - legally sold
842,O_Bup_where,Bupropion - place available
843,O_Group,Offering help to quit tobacco use
844,O_Ins_community,Treatment for tobacco dependence in the community cost covered
845,O_Ins_hlth_clin,Treatment for tobacco dependence in health clinics or other primary care facilities cost covered
846,O_Ins_hosp,Treatment for tobacco dependence in hospitals cost covered
847,O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered
848,O_Ins_other,Treatment for tobacco dependence in other settings cost covered
849,O_NRT_EML,Nicotine replacement therapy on the Essential Medicines List
850,O_NRT_ins,Nicotine replacement therapy - cost covered
851,O_NRT_sold,Nicotine replacement therapy - legally sold
852,O_NRT_where,Nicotine replacement therapy - place available
853,O_Quitline,Access to a toll-free quit line
854,O_Varen_ins,Varenicline - cost covered
855,O_Varen_sold,Varenicline - legally sold
856,O_Varen_where,Varenicline - place available
857,OCC_1,Occupational risk factors attributable deaths
858,OCC_10,Occupational carcinogens attributable DALYs ('000)
859,OCC_11,Occupational carcinogens attributable deaths per 100'000 capita
860,OCC_12,Occupational carcinogens attributable DALYs per 100'000 capita
861,OCC_13,Occupational noise attributable DALYs ('000)
862,OCC_14,Occupational noise attributable DALYs per 100'000 capita
863,OCC_15,Occupational ergonomic stressors attributable deaths
864,OCC_16,Occupational ergonomic stressors attributable DALYs ('000)
865,OCC_17,Occupational ergonomic stressors attributable deaths per 100'000 capita
866,OCC_18,Occupational ergonomic stressors attributable DALYs per 100'000 capita
867,OCC_19,Occupational injuries attributable deaths
868,OCC_2,Occupational risk factors attributable DALYs ('000)
869,OCC_20,Occupational injuries attributable DALYs ('000)
870,OCC_21,Occupational injuries attributable deaths per 100'000 capita
871,OCC_22,Occupational injuries attributable DALYs per 100'000 capita
872,OCC_3,Occupational risk factors attributable deaths per 100'000 capita
873,OCC_4,Occupational risk factors attributable DALYs per 100'000 capita
874,OCC_5,Occupational airborne particulates attributable deaths
875,OCC_6,Occupational airborne particulates attributable DALYs ('000)
876,OCC_7,Occupational airborne particulates attributable deaths per 100'000 capita
877,OCC_8,Occupational airborne particulates attributable DALYs per 100'000 capita
878,OCC_9,Occupational carcinogens attributable deaths
879,ODA_1,"Donor commitments (Million, constant 2009 US$)"
880,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)"
881,ODA_3,"Donor disbursements (Million, constant 2009 US$)"
882,ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)"
883,ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%)
884,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%)
885,overwgt5,Overweight prevalence in children aged <five years (%)
886,P_count_places_sf,National smoking ban: NUMBER OF PLACES SMOKE-FREE
887,P_Group,Protecting people from tobacco smoke
888,P1_compliance,Compliance of ban on smoking in HEALTH-CARE FACILITIES
889,P1_healthcare,National smoking ban in HEALTH-CARE FACILITIES
890,P10_subnat_auth_exists,Subnational smoking bans - authority exists
891,P11_fines_any,National smoking ban: FINES FOR VIOLATIONS
892,P12_fines_establishment,National smoking ban: FINES ON THE ESTABLISHMENT
893,P13_fines_smoker,National smoking ban: FINES ON THE PATRON
894,P14_funds_for_enforce,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT
895,P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS
896,P16_subnat_complete_bans_exist,Comprehensive bans in place subnationally
897,P2_compliance,Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES
898,P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES
899,P3_compliance,Compliance of ban on smoking in UNIVERSITIES
900,P3_universities,National smoking ban in UNIVERSITIES
901,P4_compliance,Compliance of ban on smoking in GOVERNMENT FACILITIES
902,P4_govt,National smoking ban in GOVERNMENT FACILITIES
903,P5_compliance,Compliance of ban on smoking in INDOOR OFFICES
904,P5_indoor_off,National smoking ban in INDOOR OFFICES
905,P6_compliance,Compliance of ban on smoking in RESTAURANTS
906,P6_restaurants,National smoking ban in RESTAURANTS
907,P7_compliance,Compliance of ban on smoking in PUBS AND BARS
908,P7_pubs,National smoking ban in PUBS AND BARS
909,P8_compliance,Compliance of ban on smoking in PUBLIC TRANSPORT
910,P8_pub_transp,National smoking ban in PUBLIC TRANSPORT
911,P9_all_other,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES
912,PC_sfe_compliance,Compliance with regulations on smoke-free environments (national legislation)
913,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)
914,PercposANC,Antenatal care attendees who were positive for syphilis (%)
915,PerctestedANC,Women accessing antenatal care (ANC) services who were tested for syphilis (%)
916,PerctreatedANC,Antenatal care attendees positive for syphilis who received treatment (%)
917,pncall,Postnatal care visit within two days of birth (in the x years preceding the survey) (%)
918,pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%)
919,pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%)
920,pnchome,Postnatal care visit within two days of birth - born outside a health facility (in the x years preceding the survey) (%)
921,pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%)
922,pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%)
923,poliov,Polio immunization coverage among one-year-olds (%)
924,R_Ad_val_average,Average - taxes as a % of cigarette price - ad valorem excise
925,R_Ad_val_estimate,Most sold brand of cigarettes - taxes as a % of price - ad valorem excise
926,R_admin_duty_free_allowance,"Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks)"
927,R_admin_duty_free_limited,Tax administration: Bans or limits on duty free imports by travellers
928,R_admin_tax_stamps,Tax administration: Tax stamps applied on tobacco products
929,R_afford_gdp,Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand
930,R_afford_price_dispersion,Affordability: Price dispersion: share of cheapest brand price in premium brand price (the higher the % the smaller the gap)
931,R_afford_tax_auto_adjust,Affordability: Specific tax component automatically adjusted for inflation (or other)
932,R_Curr_lowest_cost,Cheapest brand of cigarettes - currency reported
933,R_Curr_mp,Most sold brand of cigarettes - currency reported
934,R_Curr_premium_cost,Premium brand of cigarettes - currency reported
935,R_excise_incr,Tobacco excises increased over the survey period
936,R_excise_min_specific,Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime
937,R_excise_proportion,Tax structure: Excise tax proportion of price
938,R_excise_retail_price_base,Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT)
939,R_excise_specific_reliance,Tax structure: Greater reliance on specific tax in mixed excise regime
940,R_excise_type,Tax structure: Type of excise tax applied
941,R_excise_uniform_varied,Tax structure: Uniform excise tax
942,R_Group,Raising taxes on tobacco
943,R_imp_duty_average,Average - taxes as a % of cigarette price - import duties
944,R_imp_duty_estimate,Most sold brand of cigarettes - taxes as a % of price - import duties
945,R_Other_average,Average - taxes as a % of cigarette price - other taxes
946,R_Other_estimate,Most sold brand of cigarettes - taxes as a % of price - other taxes
947,R_Price_mp_estimate,Most sold brand of cigarettes - price in currency reported
948,R_Price_premium_estimate,Premium brand of cigarettes - price in currency reported
949,R_Price_premium_ppp,Premium brand of cigarettes - price in international dollars
950,R_Price_premium_usd,Premium brand of cigarettes - price in US$ at official exchange rates
951,R_Sp_excise_average,Average - taxes as a % of cigarette price - specific excise
952,R_Sp_excise_estimate,Most sold brand of cigarettes - taxes as a % of price - specific excise
953,R_total_tax_average,Average - taxes as a % of cigarette price - total tax
954,R_total_tax_estimate,Most sold brand of cigarettes - taxes as a % of price - total tax
955,R_VAT_average,Average - taxes as a % of cigarette price - value added tax
956,R_VAT_estimate,Most sold brand of cigarettes - taxes as a % of price - value added tax
957,RADON_Q201,Existence of any national radon activity
958,RADON_Q301,Existence of national radon survey(s)
959,RADON_Q302,National radon concentration levels
960,RADON_Q303,Existence of national radon database
961,RADON_Q304,Data in national radon database
962,RADON_Q401,Existence of national radon action plan
963,RADON_Q402,Existence of national radon regulations
964,RADON_Q403,Radon in building regulations for new buildings
965,RADON_Q404,Radon in building regulations for existing buildings i.e. renovation/remodeling/major alteration
966,RADON_Q405,Radon in national drinking-water regulations
967,RADON_Q501,Existence of national reference level for dwellings and buildings with high public occupancy
968,RADON_Q502,Existence of national reference level for buildings with high public occupancy
969,RADON_Q601,Existence of official protocols for radon measurements
970,RADON_Q602,Radon concentration measurements for new buildings
971,RADON_Q603,Radon concentration measurements for existing buildings
972,RADON_Q604,Authorization/accreditation required for official radon measurement providers
973,RADON_Q701,Mandatory preventive measures (new buildings)
